,Date,Season,home,visitor,FT,hgoal,vgoal
12770,2008-08-24,2008,VfL Bochum,VfL Wolfsburg,2-2,2,2
12771,2008-08-24,2008,1. FC Koln,Eintracht Frankfurt,1-1,1,1
12772,2008-08-29,2008,Karlsruher SC,1. FC Koln,0-2,0,2
12773,2008-08-30,2008,FC Schalke 04,VfL Bochum,1-0,1,0
12774,2008-08-30,2008,VfL Wolfsburg,Eintracht Frankfurt,2-2,2,2
12775,2008-08-30,2008,Bayer Leverkusen,1899 Hoffenheim,5-2,5,2
12776,2008-08-30,2008,Energie Cottbus,Borussia Dortmund,0-1,0,1
12777,2008-08-30,2008,Arminia Bielefeld,Hamburger SV,2-4,2,4
12778,2008-08-30,2008,Bor. Monchengladbach,Werder Bremen,3-2,3,2
12779,2008-08-31,2008,Bayern Munchen,Hertha BSC,4-1,4,1
12780,2008-08-31,2008,VfB Stuttgart,Hannover 96,2-0,2,0
12781,2008-09-13,2008,Werder Bremen,Energie Cottbus,3-0,3,0
12782,2008-09-13,2008,Hamburger SV,Bayer Leverkusen,3-2,3,2
12783,2008-09-13,2008,Hertha BSC,VfL Wolfsburg,2-2,2,2
12784,2008-09-13,2008,Borussia Dortmund,FC Schalke 04,3-3,3,3
12785,2008-09-13,2008,1899 Hoffenheim,VfB Stuttgart,0-0,0,0
12786,2008-09-13,2008,1. FC Koln,Bayern Munchen,0-3,0,3
12787,2008-09-14,2008,Hannover 96,Bor. Monchengladbach,5-1,5,1
12788,2008-09-14,2008,VfL Bochum,Arminia Bielefeld,2-0,2,0
12789,2008-10-22,2008,Eintracht Frankfurt,Karlsruher SC,2-1,2,1
12790,2008-09-19,2008,Bayer Leverkusen,Hannover 96,4-0,4,0
12791,2008-09-20,2008,Bayern Munchen,Werder Bremen,2-5,2,5
12792,2008-09-20,2008,FC Schalke 04,Eintracht Frankfurt,1-0,1,0
12793,2008-09-20,2008,Energie Cottbus,VfL Bochum,1-1,1,1
12794,2008-09-20,2008,Arminia Bielefeld,1. FC Koln,2-0,2,0
12795,2008-09-20,2008,Bor. Monchengladbach,Hertha BSC,0-1,0,1
12796,2008-09-21,2008,VfL Wolfsburg,Hamburger SV,3-0,3,0
12797,2008-09-21,2008,VfB Stuttgart,Karlsruher SC,3-1,3,1
12798,2008-09-21,2008,1899 Hoffenheim,Borussia Dortmund,4-1,4,1
12799,2008-09-26,2008,1. FC Koln,FC Schalke 04,1-0,1,0
12800,2008-09-27,2008,Werder Bremen,1899 Hoffenheim,5-4,5,4
12801,2008-09-27,2008,Hamburger SV,Bor. Monchengladbach,1-0,1,0
12802,2008-09-27,2008,Hannover 96,Bayern Munchen,1-0,1,0
12803,2008-09-27,2008,Hertha BSC,Energie Cottbus,0-1,0,1
12804,2008-09-27,2008,VfL Bochum,Bayer Leverkusen,2-3,2,3
12805,2008-09-27,2008,Borussia Dortmund,VfB Stuttgart,3-0,3,0
12806,2008-09-28,2008,Eintracht Frankfurt,Arminia Bielefeld,1-1,1,1
12807,2008-09-28,2008,Karlsruher SC,VfL Wolfsburg,2-1,2,1
12808,2008-10-03,2008,Arminia Bielefeld,Karlsruher SC,1-2,1,2
12809,2008-10-04,2008,Bayern Munchen,VfL Bochum,3-3,3,3
12810,2008-10-04,2008,VfB Stuttgart,Werder Bremen,4-1,4,1
12811,2008-10-04,2008,Bayer Leverkusen,Hertha BSC,0-1,0,1
12812,2008-10-04,2008,Bor. Monchengladbach,1. FC Koln,1-2,1,2
12813,2008-10-04,2008,1899 Hoffenheim,Eintracht Frankfurt,2-1,2,1
12814,2008-10-05,2008,FC Schalke 04,VfL Wolfsburg,2-2,2,2
12815,2008-10-05,2008,Borussia Dortmund,Hannover 96,1-1,1,1
12816,2008-10-05,2008,Energie Cottbus,Hamburger SV,1-2,1,2
12817,2008-10-17,2008,VfL Bochum,Bor. Monchengladbach,2-2,2,2
12818,2008-10-18,2008,Werder Bremen,Borussia Dortmund,3-3,3,3
12819,2008-10-18,2008,VfL Wolfsburg,Arminia Bielefeld,4-1,4,1
12820,2008-10-18,2008,Hannover 96,1899 Hoffenheim,2-5,2,5
12821,2008-10-18,2008,Eintracht Frankfurt,Bayer Leverkusen,0-2,0,2
12822,2008-10-18,2008,Hertha BSC,VfB Stuttgart,2-1,2,1
12823,2008-10-18,2008,Karlsruher SC,Bayern Munchen,0-1,0,1
12824,2008-10-18,2008,1. FC Koln,Energie Cottbus,1-0,1,0
12825,2008-10-19,2008,Hamburger SV,FC Schalke 04,1-1,1,1
12826,2008-10-24,2008,Bayer Leverkusen,1. FC Koln,2-0,2,0
12827,2008-10-25,2008,Bayern Munchen,VfL Wolfsburg,4-2,4,2
12828,2008-10-25,2008,FC Schalke 04,Arminia Bielefeld,0-0,0,0
12829,2008-10-25,2008,Hannover 96,Werder Bremen,1-1,1,1
12830,2008-10-25,2008,Energie Cottbus,Eintracht Frankfurt,2-3,2,3
12831,2008-10-25,2008,Bor. Monchengladbach,Karlsruher SC,1-0,1,0
12832,2008-10-26,2008,VfB Stuttgart,VfL Bochum,2-0,2,0
12833,2008-10-26,2008,Borussia Dortmund,Hertha BSC,1-1,1,1
12834,2008-10-26,2008,1899 Hoffenheim,Hamburger SV,3-0,3,0
12835,2008-10-28,2008,Werder Bremen,Bayer Leverkusen,0-2,0,2
12836,2008-10-28,2008,VfL Wolfsburg,Bor. Monchengladbach,3-0,3,0
12837,2008-10-28,2008,Karlsruher SC,FC Schalke 04,0-3,0,3
12838,2008-10-28,2008,Arminia Bielefeld,Energie Cottbus,1-1,1,1
12839,2008-10-29,2008,Hamburger SV,VfB Stuttgart,2-0,2,0
12840,2008-10-29,2008,Eintracht Frankfurt,Bayern Munchen,1-2,1,2
